"Country";"Type";"Year";"Number"
"AUSTRIA";"PC";2005;"230505"
"BELGIUM";"PC";2005;"895788"
"FINLAND";"PC";2005;"21233"
"FRANCE (1)";"PC";2005;"3112961"
"GERMANY(2)";"PC";2005;"5350187"
"ITALY";"PC";2005;"725528"
"NETHERLANDS(1)";"PC";2005;"115121"
"PORTUGAL";"PC";2005;"137602"
"SPAIN";"PC";2005;"2098168"
"SWEDEN (3)";"PC";2005;"288659"
"UNITED KINGDOM (1)";"PC";2005;"1596296"
"- EUROPEAN UNION New Members";"PC";2005;"1602587"
"Double Counts Germany / Slovakia";"PC";2005;"42160"
"CZECH REPUBLIC";"PC";2005;"599472"
"HUNGARY";"PC";2005;"148533"
"POLAND";"PC";2005;"540000"
"SLOVAKIA";"PC";2005;"218349"
"SLOVENIA";"PC";2005;"138393"
"- EAST AND CENTRAL EUROPE";"PC";2005;"1401426"
"ROMANIA";"PC";2005;"174538"
"SERBIA";"PC";2005;"12574"
"CIS";"PC";2005;"1214314"
"Double Counts Ukraine / Russia";"PC";2005;"66565"
"Double Counts Ukraine / South Korea";"PC";2005;"60000"
"Double Counts Ukraine / Czech";"PC";2005;"5500"
"Double Counts Ukraine / Romania";"PC";2005;"3000"
"Double Counts Ukraine / Germany";"PC";2005;"3000"
"RUSSIA";"PC";2005;"1068145"
"UKRAINE";"PC";2005;"196722"
"UZBEKISTAN (4)";"PC";2005;"87512"
"- TURKEY";"PC";2005;"453663"
"AMERICA";"PC";2005;"8956858"
"- NAFTA";"PC";2005;"6667310"
"CANADA (1)";"PC";2005;"1356198"
"MEXICO";"PC";2005;"989840"
"UNITED STATES OF AMERICA";"PC";2005;"4321272"
"- SOUTH AMERICA";"PC";2005;"2289548"
"ARGENTINA";"PC";2005;"182761"
"BRAZIL";"PC";2005;"2009494"
"COLOMBIA(4)";"PC";2005;"51905"
"URUGUAY";"PC";2005;"0"
"VENEZUELA(4)";"PC";2005;"45388"
"ASIA-OCEANIA";"PC";2005;"19096260"
"Double Counts Malaysia / world";"PC";2005;"91000"
"AUSTRALIA";"PC";2005;"316414"
"CHINA";"PC";2005;"3078153"
"INDIA";"PC";2005;"1264000"
"INDONESIA";"PC";2005;"233492"
"IRAN";"PC";2005;"725000"
"JAPAN";"PC";2005;"9016375"
"MALAYSIA";"PC";2005;"405000"
"PAKISTAN (4)";"PC";2005;"133998"
"PHILIPPINES(4)";"PC";2005;"36236"
"SOUTH KOREA";"PC";2005;"3357094"
"TAIWAN";"PC";2005;"323819"
"THAILAND";"PC";2005;"277603"
"VIETNAM(4)";"PC";2005;"20076"
"AFRICA";"PC";2005;"319598"
"Double Counts Egypt / world";"PC";2005;"14440"
"Double Counts South Africa / world";"PC";2005;"50531"
"BOTSWANA";"PC";2005;"1566"
"EGYPT";"PC";2005;"48034"
"MOROCCO(4)";"PC";2005;"7622"
"NIGERIA(4)";"PC";2005;"2472"
"Others";"PC";2005;"0"
"SOUTH AFRICA";"PC";2005;"324875"
"TOTAL";"PC";2005;"46008847"
"AUSTRIA";"PC";2006;"248059"
"BELGIUM";"PC";2006;"881929"
"FINLAND";"PC";2006;"32417"
"FRANCE";"PC";2006;"2723196"
"GERMANY(1)";"PC";2006;"5398508"
"ITALY";"PC";2006;"892502"
"NETHERLANDS";"PC";2006;"87332"
"PORTUGAL";"PC";2006;"143478"
"SPAIN";"PC";2006;"2078639"
"SWEDEN (2)";"PC";2006;"288583"
"UNITED KINGDOM";"PC";2006;"1442085"
"- EUROPEAN UNION New Members";"PC";2006;"2250809"
"Double Counts Slovakia/ / Germany";"PC";2006;"30100"
"CZECH REPUBLIC";"PC";2006;"848922"
"HUNGARY";"PC";2006;"187633"
"POLAND";"PC";2006;"632300"
"ROMANIA";"PC";2006;"201663"
"SLOVAKIA";"PC";2006;"295391"
"SLOVENIA";"PC";2006;"115000"
"- EAST AND CENTRAL EUROPE";"PC";2006;"1369700"
